123 application-vnd.lotus-1-2-3
mp4s application-mp4
mp4 video
mp4v video
mpc chemical-x-mopac-input
mpega audio-mpeg
mpeg video
mpe video
mpg4 video
mpga audio-mpeg
mpg video
mph application-x-comsol
mpkg application-vnd.apple.installer+xml
mpm application-vnd.blueice.multipass
mpn application-vnd.mophun.application
mpp application-vnd.ms-project
mpt application-vnd.ms-project
mpv video
mpy application-vnd.ibm.minipay
mqy application-vnd.mobius.mqy
mrc application-marc
mrcx application-marcxml+xml
mscml application-mediaservercontrol+xml
mseed application-vnd.fdsn.mseed
mseq application-vnd.mseq
msf application-vnd.epson.msf
msh model-mesh
msi application-x-msi
msl application-vnd.mobius.msl
ms text-troff
msty application-vnd.muvee.style
mts model-vnd.mts
mus application-vnd.musician
musicxml application-vnd.recordare.musicxml+xml
mvb chemical-x-mopac-vib
mwf application-vnd.mfer
mxf application-mxf
mxl application-vnd.recordare.musicxml
mxml application-xv+xml
mxs application-vnd.triscape.mxs
mxu video
n3 text-n3
nb application-mathematica
nbp application-mathematica
nc application-x-netcdf
ncx application-x-dtbncx+xml
nef image-x-nikon-nef
nfo text-x-nfo
n-gage application-vnd.nokia.n-gage.symbian.install
ngdat application-vnd.nokia.n-gage.data
nitf application-vnd.nitf
nlu application-vnd.neurolanguage.nlu
nml application-vnd.enliven
nnd application-vnd.noblenet-directory
nns application-vnd.noblenet-sealer
nnw application-vnd.noblenet-web
npx image-vnd.net-fpx
nsc application-x-conference
nsf application-vnd.lotus-notes
ntf application-vnd.nitf
nwc application-x-nwc
nzb application-x-nzb
oa2 application-vnd.fujitsu.oasys2
oa3 application-vnd.fujitsu.oasys3
o application-x-object
oas application-vnd.fujitsu.oasys
obd application-x-msbinder
obj application-x-tgif
oda application-oda
odb application-vnd.oasis.opendocument.database
odc application-vnd.oasis.opendocument.chart
odf application-vnd.oasis.opendocument.formula
odft application-vnd.oasis.opendocument.formula-template
odg application-vnd.oasis.opendocument.graphics
odi application-vnd.oasis.opendocument.image
odm application-vnd.oasis.opendocument.text-master
odp application-vnd.oasis.opendocument.presentation
ods application-vnd.oasis.opendocument.spreadsheet
odt application-vnd.oasis.opendocument.text
oga audio-ogg
ogg audio-ogg
ogv video
ogx application-ogg
old application-x-trash
omdoc application-omdoc+xml
one application-onenote
onepkg application-onenote
onetmp application-onenote
onetoc2 application-onenote
onetoc application-onenote
opf application-oebps-package+xml
opml text-x-opml
oprc application-vnd.palm
opus audio-ogg
orc audio-csound
orf image-x-olympus-orf
org application-vnd.lotus-organizer
osf application-vnd.yamaha.openscoreformat
osfpvg application-vnd.yamaha.openscoreformat.osfpvg+xml
otc application-vnd.oasis.opendocument.chart-template
otf application-x-font-otf
otg application-vnd.oasis.opendocument.graphics-template
oth application-vnd.oasis.opendocument.text-web
oti application-vnd.oasis.opendocument.image-template
otm application-vnd.oasis.opendocument.text-master
otp application-vnd.oasis.opendocument.presentation-template
ots application-vnd.oasis.opendocument.spreadsheet-template
ott application-vnd.oasis.opendocument.text-template
oxps application-oxps
oxt application-vnd.openofficeorg.extension
oza application-x-oz-application
p10 application-pkcs10
p12 application-x-pkcs12
p7b application-x-pkcs7-certificates
p7c application-pkcs7-mime
p7m application-pkcs7-mime
p7r application-x-pkcs7-certreqresp
p7s application-pkcs7-signature
p8 application-pkcs8
pac application-x-ns-proxy-autoconfig
pas text-x-pascal
patch text-x-diff
pat image-x-coreldrawpattern
paw application-vnd.pawaafile
pbd application-vnd.powerbuilder6
pbm image-x-portable-bitmap
pcap application-vnd.tcpdump.pcap
pcf application-x-font
pcf.Z application-x-font
pcl application-vnd.hp-pcl
pclxl application-vnd.hp-pclxl
pct image-x-pict
pcurl application-vnd.curl.pcurl
pcx image-pcx
pdb chemical-x-pdb
pdf application-pdf
pfa application-x-font
pfb application-x-font
pfm application-x-font-type1
pfr application-font-tdpfr
pfx application-x-pkcs12
pgm image-x-portable-graymap
pgn application-x-chess-pgn
pgp application-pgp-encrypted
pic image-x-pict
pk application-x-tex-pk
pkg application-octet-stream
pki application-pkixcmp
pkipath application-pkix-pkipath
plb application-vnd.3gpp.pic-bw-large
plc application-vnd.mobius.plc
plf application-vnd.pocketlearn
pls audio-x-scpls
pl text-x-perl
pml application-vnd.ctc-posml
pm text-x-perl
png image-png
pnm image-x-portable-anymap
portpkg application-vnd.macports.portpkg
potm application-vnd.ms-powerpoint.template.macroEnabled.12
pot text-plain
potx application-vnd.openxmlformats-officedocument.presentationml.template
ppam application-vnd.ms-powerpoint.addin.macroEnabled.12
ppd application-vnd.cups-ppd
ppm image-x-portable-pixmap
pps application-vnd.ms-powerpoint
ppsm application-vnd.ms-powerpoint.slideshow.macroEnabled.12
ppsx application-vnd.openxmlformats-officedocument.presentationml.slideshow
ppt application-vnd.ms-powerpoint
pptm application-vnd.ms-powerpoint.presentation.macroEnabled.12
pptx application-vnd.openxmlformats-officedocument.presentationml.presentation
pqa application-vnd.palm
prc application-x-mobipocket-ebook
pre application-vnd.lotus-freelance
prf application-pics-rules
prt chemical-x-ncbi-asn1-ascii
ps application-postscript
psb application-vnd.3gpp.pic-bw-small
psd image-x-photoshop
psf application-x-font-linux-psf
pskcxml application-pskc+xml
psp text-x-psp
p text-x-pascal
ptid application-vnd.pvi.ptid1
pub application-x-mspublisher
pvb application-vnd.3gpp.pic-bw-var
pwn application-vnd.3m.post-it-notes
pya audio-vnd.ms-playready.media.pya
pyc application-x-python-code
pyo application-x-python-code
py text-x-python
pyv video
qam application-vnd.epson.quickanime
qbo application-vnd.intu.qbo
qfx application-vnd.intu.qfx
qgs application-x-qgis
qps application-vnd.publishare-delta-tree
qtl application-x-quicktimeplayer
qt video
qwd application-vnd.quark.quarkxpress
qwt application-vnd.quark.quarkxpress
qxb application-vnd.quark.quarkxpress
qxd application-vnd.quark.quarkxpress
qxl application-vnd.quark.quarkxpress
qxt application-vnd.quark.quarkxpress
ra audio-x-realaudio
ram audio-x-pn-realaudio
rar application-rar
ras image-x-cmu-raster
rb application-x-ruby
rcprofile application-vnd.ipunplugged.rcprofile
